City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1,Atuona,PF,79.99,scattered clouds,-9.8,-139.0333,Villa Enata
4,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
5,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Puerto Carreno,CO,81.12,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
14,Rikitea,PF,78.13,overcast clouds,-23.1203,-134.9692,Pension Maro'i
16,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
21,Pedro Ii,BR,71.8,light rain,-4.4247,-41.4586,Opala Hotel Pedro II
23,Kapaa,US,79.0,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
25,Port Moresby,PG,76.59,overcast clouds,-9.4431,147.1797,Lamana Hotel
26,Marsh Harbour,BS,79.97,clear sky,26.5412,-77.0636,Abaco Beach Resort
28,Faanui,PF,81.03,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
30,Bengkulu,ID,75.27,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
31,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
39,Tuy Hoa,VN,77.13,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
41,Akyab,MM,81.16,clear sky,20.15,92.9,Hotel Memory
43,Ridgecrest,US,71.6,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
46,Victoria,HK,73.99,overcast clouds,22.2855,114.1577,Mini Hotel Central
51,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
52,East London,ZA,68.11,overcast clouds,-33.0153,27.9116,Tu Casa
60,Arraial Do Cabo,BR,75.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
63,Najran,SA,78.8,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
65,Rawlins,US,66.0,few clouds,41.7911,-107.2387,Holiday Inn Express Rawlins
67,Ambilobe,MG,72.9,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
70,Atar,MR,81.52,clear sky,20.5169,-13.0499,Oumou Elghoura
78,Hithadhoo,MV,82.11,overcast clouds,-0.6,73.0833,Scoop Guest House
79,Maceio,BR,75.2,clear sky,-9.6658,-35.7353,Poutur Pousada
86,Ndele,CF,72.32,overcast clouds,8.4109,20.6473,
89,Cabedelo,BR,78.8,clear sky,-6.9811,-34.8339,Hotel Pigalle
92,Hilo,US,75.99,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
93,Morgan City,US,78.01,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
94,Vila Velha,BR,78.8,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
96,General Cepeda,MX,82.4,clear sky,25.3833,-101.45,Hacienda Los Jose
97,Butaritari,KI,82.81,few clouds,3.0707,172.7902,Isles Sunset Lodge
98,Saint George,US,82.4,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
105,Port Alfred,ZA,70.09,overcast clouds,-33.5906,26.891,The Halyards Hotel
108,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
109,Dingle,PH,76.03,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
110,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
111,Glenwood Springs,US,72.0,broken clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
