City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Puerto Ayora,EC,-0.7393,-90.3518,82.4,69,20,16.11,few clouds
1,Atuona,PF,-9.8,-139.0333,79.99,73,44,15.03,scattered clouds
2,Abalak,RU,58.1286,68.5944,40.69,65,27,9.53,scattered clouds
3,Albany,US,42.6001,-73.9662,57.99,48,86,1.01,overcast clouds
4,Mahebourg,MU,-20.4081,57.7,77.0,88,75,14.97,light rain
5,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,19.57,light rain
6,Puerto Carreno,CO,6.189,-67.4859,81.12,77,100,14.83,overcast clouds
7,Eagan,US,44.8041,-93.1669,43.0,56,90,14.97,overcast clouds
8,Tasiilaq,GL,65.6145,-37.6368,37.4,81,90,14.97,light rain
9,Vodyane,UA,47.4875,34.4924,46.47,66,100,8.99,overcast clouds
10,Taltal,CL,-25.4,-70.4833,64.35,76,47,4.88,scattered clouds
11,Mataura,NZ,-46.1927,168.8643,46.99,82,75,13.0,broken clouds
12,Talnakh,RU,69.4865,88.3972,-1.07,93,90,3.8,overcast clouds
13,Irtyshskiy,RU,58.3333,68.1333,41.65,64,27,11.41,scattered clouds
14,Rikitea,PF,-23.1203,-134.9692,78.13,74,98,7.83,overcast clouds
15,Khatanga,RU,71.9667,102.5,3.29,92,83,12.03,broken clouds
16,Avarua,CK,-21.2078,-159.775,82.4,78,75,12.66,light rain
17,Carnarvon,AU,-24.8667,113.6333,59.0,82,0,5.75,clear sky
18,Busselton,AU,-33.65,115.3333,52.0,98,100,4.38,overcast clouds
19,Barrow,US,71.2906,-156.7887,21.2,86,1,18.41,clear sky
20,Vardo,NO,70.3705,31.1107,28.4,69,0,12.66,clear sky
21,Pedro Ii,BR,-4.4247,-41.4586,71.8,84,70,0.81,light rain
22,Hermanus,ZA,-34.4187,19.2345,62.01,90,100,5.99,overcast clouds
23,Kapaa,US,22.0752,-159.319,79.0,73,75,13.8,broken clouds
24,Punta Arenas,CL,-53.15,-70.9167,50.0,87,90,16.11,light rain
25,Port Moresby,PG,-9.4431,147.1797,76.59,88,99,8.99,overcast clouds
26,Marsh Harbour,BS,26.5412,-77.0636,79.97,73,0,12.97,clear sky
27,Stornoway,GB,58.2093,-6.3865,51.01,87,100,4.61,overcast clouds
28,Faanui,PF,-16.4833,-151.75,81.03,64,27,2.95,scattered clouds
29,Lebu,CL,-37.6167,-73.65,56.82,86,0,10.96,clear sky
30,Bengkulu,ID,-3.8004,102.2655,75.27,89,72,4.56,broken clouds
31,Vaini,TO,-21.2,-175.2,78.8,89,75,5.75,light rain
32,Torbay,CA,47.6666,-52.7314,46.99,49,20,14.97,few clouds
33,Ushuaia,AR,-54.8,-68.3,50.0,71,75,14.97,broken clouds
34,Shenjiamen,CN,29.9576,122.298,59.7,79,22,6.49,few clouds
35,Srednekolymsk,RU,67.45,153.6833,17.82,80,21,6.98,few clouds
36,Esperance,AU,-33.8667,121.9,57.2,58,0,14.97,clear sky
37,Cape Town,ZA,-33.9258,18.4232,62.6,88,75,6.91,broken clouds
38,Tiksi,RU,71.6872,128.8694,26.2,96,100,2.62,light snow
39,Tuy Hoa,VN,13.0833,109.3,77.13,88,28,2.01,scattered clouds
40,Port Lincoln,AU,-34.7333,135.8667,59.92,77,6,6.87,clear sky
41,Akyab,MM,20.15,92.9,81.16,80,8,4.27,clear sky
42,Nanortalik,GL,60.1432,-45.2371,41.14,80,100,15.26,light rain
43,Ridgecrest,US,35.6225,-117.6709,71.6,21,1,24.16,clear sky
44,Waverly,US,42.7392,-84.6208,51.8,32,1,9.22,clear sky
45,Bredasdorp,ZA,-34.5322,20.0403,55.4,94,100,3.44,overcast clouds
46,Victoria,HK,22.2855,114.1577,73.99,83,100,1.01,overcast clouds
47,Mandalgovi,MN,45.7625,106.2708,30.2,67,41,28.27,light snow
48,Chokurdakh,RU,70.6333,147.9167,21.02,94,100,13.98,light snow
49,Coihaique,CL,-45.5752,-72.0662,57.2,54,75,8.05,broken clouds
50,Sivaki,RU,52.6333,126.75,43.0,44,100,5.79,overcast clouds
51,Souillac,MU,-20.5167,57.5167,77.0,88,75,14.97,light rain
52,East London,ZA,-33.0153,27.9116,68.11,68,100,9.31,overcast clouds
53,Zhigansk,RU,66.7697,123.3711,32.34,99,100,8.75,light snow
54,Yumen,CN,40.2833,97.2,35.55,17,58,9.17,broken clouds
55,Kodiak,US,57.79,-152.4072,42.8,75,90,10.36,overcast clouds
56,Yuanping,CN,38.7153,112.7575,50.41,68,100,0.65,overcast clouds
57,Concarneau,FR,47.875,-3.9225,50.0,76,0,16.11,clear sky
58,Yellowknife,CA,62.456,-114.3525,8.6,72,90,13.8,light snow
59,Aklavik,CA,68.2191,-135.0107,19.4,79,75,9.22,broken clouds
60,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,88,0,6.91,clear sky
61,Roncesvalles,CO,4.0108,-75.6049,59.16,95,95,1.5,overcast clouds
62,Sindor,RU,62.8629,51.8905,39.83,92,100,6.4,overcast clouds
63,Najran,SA,17.4924,44.1277,78.8,38,40,4.61,scattered clouds
64,Dandong,CN,40.1292,124.3947,51.84,38,100,3.22,overcast clouds
65,Rawlins,US,41.7911,-107.2387,66.0,17,20,35.68,few clouds
66,Ribeira Grande,PT,38.5167,-28.7,59.95,84,100,12.33,overcast clouds
67,Ambilobe,MG,-13.2,49.05,72.9,78,82,2.68,broken clouds
68,Seoul,KR,37.5683,126.9778,57.2,33,0,6.91,clear sky
69,Mount Gambier,AU,-37.8333,140.7667,51.8,93,90,1.14,overcast clouds
70,Atar,MR,20.5169,-13.0499,81.52,17,0,4.54,clear sky
