City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-04-25 20:37:00,-23.1203,-134.9692,78.04,74,100,8.01
1,Pochutla,MX,2021-04-25 20:38:50,15.7432,-96.4661,89.01,62,75,11.5
2,Dunedin,NZ,2021-04-25 20:38:51,-45.8742,170.5036,52.0,33,76,11.01
3,Fortuna,US,2021-04-25 20:38:15,40.5982,-124.1573,55.0,87,75,8.05
4,Kruisfontein,ZA,2021-04-25 20:35:54,-34.0033,24.7314,72.55,37,100,7.27
5,Bethel,US,2021-04-25 20:38:52,41.3712,-73.414,55.99,76,100,8.39
6,Comodoro Rivadavia,AR,2021-04-25 20:38:52,-45.8667,-67.5,68.0,49,0,9.22
7,Saldanha,ZA,2021-04-25 20:31:30,-33.0117,17.9442,60.8,88,92,5.75
8,Punta Arenas,CL,2021-04-25 20:33:57,-53.15,-70.9167,57.2,62,75,19.57
9,Pindiga,NG,2021-04-25 20:38:53,9.9833,10.9333,84.79,41,88,3.89
10,Mollendo,PE,2021-04-25 20:38:54,-17.0231,-72.0147,69.15,76,68,8.41
11,Hilo,US,2021-04-25 20:30:43,19.7297,-155.09,80.6,57,75,3.44
12,Albany,US,2021-04-25 20:32:02,42.6001,-73.9662,59.0,67,90,8.05
13,Hereford,GB,2021-04-25 20:38:23,52.0568,-2.7148,48.99,69,69,6.85
14,Yakeshi,CN,2021-04-25 20:34:01,49.2833,120.7333,42.44,47,99,6.46
15,Ulaangom,MN,2021-04-25 20:38:55,49.9811,92.0667,25.75,44,2,8.43
16,Tuktoyaktuk,CA,2021-04-25 20:32:47,69.4541,-133.0374,12.2,85,90,10.36
17,Bluff,NZ,2021-04-25 20:32:58,-46.6,168.3333,46.0,80,76,11.01
18,Lebu,CL,2021-04-25 20:33:48,-37.6167,-73.65,58.5,81,0,11.86
19,Santiago Del Estero,AR,2021-04-25 20:36:44,-27.7951,-64.2615,72.37,44,0,6.62
20,Castro,BR,2021-04-25 20:34:26,-24.7911,-50.0119,60.48,88,85,3.87
21,Hithadhoo,MV,2021-04-25 20:34:40,-0.6,73.0833,82.31,69,99,4.7
22,Owando,CG,2021-04-25 20:38:56,-0.4819,15.8999,78.19,70,84,1.21
23,Busselton,AU,2021-04-25 20:33:49,-33.65,115.3333,52.0,97,100,4.85
24,Hobart,AU,2021-04-25 20:30:05,-42.8794,147.3294,57.2,62,75,17.27
25,Arraial Do Cabo,BR,2021-04-25 20:34:28,-22.9661,-42.0278,77.0,78,0,8.05
26,Ushtobe,KZ,2021-04-25 20:38:57,45.2514,77.9838,51.58,50,98,3.44
27,Ushuaia,AR,2021-04-25 20:33:48,-54.8,-68.3,55.4,50,20,16.11
28,Mahebourg,MU,2021-04-25 20:33:13,-20.4081,57.7,75.2,94,75,12.66
29,Chippewa Falls,US,2021-04-25 20:38:58,44.9369,-91.3929,46.99,36,90,10.36
